 ,Label,Bone Code,Slice,CSA (mm²),X cent. (mm),Y cent. (mm),Density,wX cent. (mm),wY cent. (mm),Theta (rad),R1 (mm),R2 (mm),Imin (mm^4),Imax (mm^4),Ipm (mm^4),Zmax (mm³),Zmin (mm³),Zpol (mm³),Feret Min (mm),Feret Max (mm),Feret Angle (rad),Perimeter (mm),Max Thick 2D (mm),Mean Thick 2D (mm),SD Thick 2D (mm),A (rad),M (rad),IAP(mm^4),IML(mm^4),ZAP(mm³),ZML(mm³),RAP(mm),RML(mm),DAP(mm),DML(mm)
59,AMNH3_8bit_trimmed.tif,0,59,164.533,65.039,45.788,1.800,65.039,45.788,1.105,7.837,9.519,3175.614,4655.808,21.897,489.087,405.207,749.739,15.347,19.284,1.716,59.266,5.603,4.009,1.490,1.361,2.932,4560.938,3270.483,453.935,389.978,10.048,8.386,16.077,19.245
60,AMNH3_8bit_trimmed.tif,0,60,163.255,65.082,45.877,1.800,65.082,45.877,1.155,7.782,9.516,3177.536,4623.137,22.765,485.845,408.296,747.542,15.408,19.258,1.644,59.117,5.480,3.992,1.474,1.361,2.932,4562.376,3238.297,456.065,382.630,10.004,8.463,16.103,19.208
61,AMNH3_8bit_trimmed.tif,0,61,164.339,65.055,45.967,1.800,65.055,45.967,1.115,7.912,9.545,3225.612,4611.578,22.081,483.118,407.668,750.571,15.595,19.202,1.684,60.048,5.649,4.047,1.517,1.361,2.932,4529.158,3308.032,455.278,387.741,9.948,8.532,16.243,19.155
62,AMNH3_8bit_trimmed.tif,0,62,172.445,64.918,45.945,1.800,64.918,45.945,1.094,7.998,9.471,3268.098,4879.625,22.682,515.214,408.600,772.851,15.499,19.175,1.670,59.192,5.801,4.195,1.481,1.361,2.932,4767.036,3380.687,473.403,401.851,10.070,8.413,16.254,19.155
63,AMNH3_8bit_trimmed.tif,0,63,169.969,64.972,45.989,1.800,64.972,45.989,1.082,8.136,9.463,3283.563,4692.136,22.092,495.816,403.573,755.744,15.710,19.131,1.644,60.885,5.934,4.251,1.591,1.361,2.932,4585.438,3390.262,456.976,394.742,10.034,8.589,16.360,19.049
64,AMNH3_8bit_trimmed.tif,0,64,171.717,64.952,46.081,1.800,64.952,46.081,1.073,8.228,9.565,3342.933,4663.706,22.102,487.588,406.309,761.786,15.819,19.110,2.290,61.004,5.961,4.404,1.627,1.361,2.932,4557.198,3449.441,456.884,394.050,9.975,8.754,16.537,18.970
65,AMNH3_8bit_trimmed.tif,0,65,171.749,64.932,46.189,1.800,64.932,46.189,1.077,8.213,9.579,3378.421,4689.594,22.190,489.593,411.371,768.442,15.818,19.089,2.309,61.171,5.955,4.473,1.582,1.361,2.932,4586.341,3481.675,462.032,393.198,9.926,8.855,16.707,18.932
66,AMNH3_8bit_trimmed.tif,0,66,174.419,64.868,46.193,1.800,64.868,46.193,1.030,8.453,9.615,3374.746,4827.003,21.357,502.021,399.245,778.571,15.913,19.082,2.318,60.557,6.153,4.352,1.651,1.361,2.932,4673.101,3528.648,469.105,401.386,9.962,8.791,16.752,18.887
67,AMNH3_8bit_trimmed.tif,0,67,176.069,64.900,46.298,1.800,64.900,46.298,1.058,8.425,9.567,3433.632,4862.692,22.285,508.268,407.562,789.333,15.949,19.099,2.300,60.091,6.257,4.468,1.663,1.361,2.932,4735.345,3560.979,478.426,410.412,9.898,8.677,16.662,18.853
68,AMNH3_8bit_trimmed.tif,0,68,174.483,64.949,46.379,1.800,64.949,46.379,1.079,8.457,9.540,3472.880,4756.172,22.593,498.524,410.669,781.902,16.007,19.168,2.323,61.618,6.294,4.465,1.747,1.361,2.932,4656.546,3572.506,473.501,406.919,9.834,8.779,16.725,18.781
69,AMNH3_8bit_trimmed.tif,0,69,173.464,64.972,46.508,1.800,64.972,46.508,1.082,8.470,9.585,3518.317,4649.190,22.541,485.024,415.384,782.559,16.172,19.110,2.290,62.710,6.380,4.345,1.893,1.361,2.932,4563.386,3604.121,470.247,401.407,9.704,8.979,16.903,18.683
70,AMNH3_8bit_trimmed.tif,0,70,175.648,64.980,46.568,1.800,64.980,46.568,1.104,8.465,9.514,3540.248,4693.771,23.349,493.332,418.219,786.299,16.167,19.184,2.305,63.429,6.486,4.493,1.774,1.361,2.932,4619.184,3614.835,476.774,407.635,9.688,8.868,16.805,18.649
71,AMNH3_8bit_trimmed.tif,0,71,176.215,64.908,46.587,1.800,64.908,46.587,1.072,8.635,9.567,3572.729,4795.772,22.637,501.275,413.770,794.537,16.207,19.251,2.375,61.438,6.436,4.289,1.845,1.361,2.932,4695.956,3672.544,482.249,416.380,9.738,8.820,16.876,18.604
72,AMNH3_8bit_trimmed.tif,0,72,176.587,64.835,46.727,1.800,64.835,46.727,1.079,8.587,9.567,3606.444,4932.587,22.879,515.565,420.006,817.224,16.345,19.206,2.427,63.088,6.614,4.313,1.806,1.361,2.932,4830.001,3709.030,499.961,424.048,9.661,8.747,16.929,18.570
73,AMNH3_8bit_trimmed.tif,0,73,177.396,64.862,46.765,1.800,64.862,46.765,1.096,8.587,9.497,3601.129,4915.149,23.392,517.527,419.359,813.254,16.408,19.251,2.338,60.495,6.614,4.346,1.775,1.361,2.932,4824.990,3691.287,499.839,417.752,9.653,8.836,17.001,18.525
74,AMNH3_8bit_trimmed.tif,0,74,177.784,64.983,46.886,1.800,64.983,46.886,1.143,8.528,9.436,3590.599,4843.708,24.527,513.305,421.059,799.893,16.418,19.194,2.295,60.420,6.605,4.609,1.850,1.361,2.932,4784.871,3649.436,499.407,405.109,9.581,9.009,17.080,18.543
75,AMNH3_8bit_trimmed.tif,0,75,176.603,64.914,46.867,1.800,64.914,46.867,1.063,8.930,9.622,3588.609,4849.111,22.483,503.972,401.854,800.167,16.702,19.206,2.427,115.783,6.605,4.653,1.767,1.361,2.932,4740.497,3697.222,490.794,396.433,9.659,9.326,17.453,18.517
76,AMNH3_8bit_trimmed.tif,0,76,177.622,64.875,47.002,1.800,64.875,47.002,1.121,8.747,9.456,3705.057,4842.352,24.011,512.072,423.563,815.443,16.564,19.194,2.417,62.970,6.486,4.641,1.739,1.361,2.932,4778.057,3769.352,499.314,416.190,9.569,9.057,17.223,18.498
77,AMNH3_8bit_trimmed.tif,0,77,177.218,64.801,47.077,1.800,64.801,47.077,1.127,8.630,9.463,3724.051,4924.521,24.083,520.392,431.539,826.116,16.705,19.219,2.436,66.189,6.406,4.398,1.693,1.361,2.932,4859.675,3788.897,507.574,408.735,9.574,9.270,17.506,18.491
78,AMNH3_8bit_trimmed.tif,0,78,178.642,64.806,47.125,1.800,64.806,47.125,1.120,8.805,9.475,3765.432,4981.036,24.120,525.700,427.648,832.955,16.901,19.278,2.412,67.343,6.541,4.491,1.710,1.361,2.932,4911.612,3834.856,512.718,417.129,9.580,9.193,17.487,18.491
